  2B3  [650611000 00AD 14]:16  
  2B4  [303411008 014F 51]:16  
  2B5  [750611000 00AD 14]:16  
  2B6  [303411008 014F 51]:16  
  2B7  [306110320 01D5 10]:16  
  2B8  [604010000 1150 01]:16  
  2B9  [000000630 018E 00]:16  
  2BA  [000000630 0019 00]:16  
  2BB  [000000630 0018 01]:16  
  2BC  [000000601 018D 10]:16  
  2BD  [000000612 018D 10]:16  
  2BE  [4061103B6 00AE 13]:16  
  2BF  [000000625 018D 10]:16  
  2C0  [610510011 00B2 04]:16  
  2C1  [000000302 018E 01]:16  
  2C2  [000000326 001A 01]:16  
  2C3  [000000315 018E 01]:16  
  2C4  [6061113B0 1150 01]:15  [6061013B0 1150 01]:01  000010000
  2C5  [614510030 018E 01]:16  
  2C6  [012000070 0150 11]:16  
  2C7  [012000080 0150 11]:16  
  2C8  [066600330 018E 01]:16  
  2C9  [000000330 018E 01]:16  
  2CA  [406010000 009A 14]:16  
  2CB  [106010000 0152 00]:16  
  2CC  [51000004D 0152 51]:16  
  2CD  [00300000D 0004 00]:16  
  2CE  [0130000FD 0023 22]:16  
  2CF  [003000000 0190 11]:16  
  2D0  [016000010 0191 00]:16  
  2D1  [016000040 0191 00]:16  
  2D2  [3031102D0 00B4 14]:16  
  2D3  [0000005D0 0191 01]:16  
  2D4  [3106110C0 00B5 14]:16  
  2D5  [5060102D0 0153 10]:16  
  2D6  [303110000 00B4 11]:16  
  2D7  [01400002C 010B 10]:16  
  2D8  [0000005D0 0191 10]:16  
  2D9  [014000020 010B 10]:16  
  2DA  [00300000D 108D 11]:16  
  2DB  [001000680 0192 01]:16  
  2DC  [0150000A0 00B7 12]:16  
